Web Search interest
United States; 2010

Interest over time
Week,Hobbies & Leisure
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-4%
2010-01-17 - 2010-01-23,-1%
2010-01-24 - 2010-01-30,-4%
2010-01-31 - 2010-02-06,+1%
2010-02-07 - 2010-02-13,-1%
2010-02-14 - 2010-02-20,+0%
2010-02-21 - 2010-02-27,-3%
2010-02-28 - 2010-03-06,-1%
2010-03-07 - 2010-03-13,+1%
2010-03-14 - 2010-03-20,+3%
2010-03-21 - 2010-03-27,+1%
2010-03-28 - 2010-04-03,+9%
2010-04-04 - 2010-04-10,+3%
2010-04-11 - 2010-04-17,+3%
2010-04-18 - 2010-04-24,+4%
2010-04-25 - 2010-05-01,+5%
2010-05-02 - 2010-05-08,+9%
2010-05-09 - 2010-05-15,+3%
2010-05-16 - 2010-05-22,+8%
2010-05-23 - 2010-05-29,+8%
2010-05-30 - 2010-06-05,+10%
2010-06-06 - 2010-06-12,+6%
2010-06-13 - 2010-06-19,+5%
2010-06-20 - 2010-06-26,+4%
2010-06-27 - 2010-07-03,+9%
2010-07-04 - 2010-07-10,+9%
2010-07-11 - 2010-07-17,+8%
2010-07-18 - 2010-07-24,+8%
2010-07-25 - 2010-07-31,+5%
2010-08-01 - 2010-08-07,+8%
2010-08-08 - 2010-08-14,+4%
2010-08-15 - 2010-08-21,+5%
2010-08-22 - 2010-08-28,+0%
2010-08-29 - 2010-09-04,+4%
2010-09-05 - 2010-09-11,+4%
2010-09-12 - 2010-09-18,+0%
2010-09-19 - 2010-09-25,-4%
2010-09-26 - 2010-10-02,-1%
2010-10-03 - 2010-10-09,+3%
2010-10-10 - 2010-10-16,+0%
2010-10-17 - 2010-10-23,+0%
2010-10-24 - 2010-10-30,+5%
2010-10-31 - 2010-11-06,+1%
2010-11-07 - 2010-11-13,+4%
2010-11-14 - 2010-11-20,+3%
2010-11-21 - 2010-11-27,+8%
2010-11-28 - 2010-12-04,+8%
2010-12-05 - 2010-12-11,+9%
2010-12-12 - 2010-12-18,+11%
2010-12-19 - 2010-12-25,+27%
2010-12-26 - 2011-01-01,+22%



Top searches
dog,100
lottery,90
christmas,55
dogs,50
photography,40
puppies,40
camera,35
cat,35
canon,35
fish,30
nikon,30
horse,25
halloween,25
boats,20
lotto,20
cats,20
mega millions,20
bikes,20
sony,15
powerball,15



Rising searches
angry birds,Breakout
thanksgiving 2010,+2,100%
labor day 2010,+1,050%
grooveshark,+400%
memorial day 2010,+400%
easter 2010,+120%
airplanes,+100%
birds,+60%
bass pro shop,+40%
imagenes,+40%



