Web Search interest
United States; 2010

Interest over time
Week,Internet & Telecom
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-8%
2010-01-17 - 2010-01-23,-4%
2010-01-24 - 2010-01-30,-8%
2010-01-31 - 2010-02-06,-11%
2010-02-07 - 2010-02-13,-10%
2010-02-14 - 2010-02-20,-10%
2010-02-21 - 2010-02-27,-10%
2010-02-28 - 2010-03-06,-10%
2010-03-07 - 2010-03-13,-9%
2010-03-14 - 2010-03-20,-7%
2010-03-21 - 2010-03-27,-8%
2010-03-28 - 2010-04-03,-5%
2010-04-04 - 2010-04-10,-7%
2010-04-11 - 2010-04-17,-8%
2010-04-18 - 2010-04-24,-8%
2010-04-25 - 2010-05-01,-9%
2010-05-02 - 2010-05-08,-11%
2010-05-09 - 2010-05-15,-7%
2010-05-16 - 2010-05-22,-4%
2010-05-23 - 2010-05-29,-5%
2010-05-30 - 2010-06-05,-4%
2010-06-06 - 2010-06-12,+5%
2010-06-13 - 2010-06-19,+1%
2010-06-20 - 2010-06-26,+5%
2010-06-27 - 2010-07-03,+7%
2010-07-04 - 2010-07-10,+5%
2010-07-11 - 2010-07-17,+8%
2010-07-18 - 2010-07-24,+9%
2010-07-25 - 2010-07-31,+8%
2010-08-01 - 2010-08-07,+7%
2010-08-08 - 2010-08-14,+9%
2010-08-15 - 2010-08-21,+9%
2010-08-22 - 2010-08-28,+4%
2010-08-29 - 2010-09-04,+3%
2010-09-05 - 2010-09-11,+7%
2010-09-12 - 2010-09-18,+4%
2010-09-19 - 2010-09-25,+2%
2010-09-26 - 2010-10-02,+1%
2010-10-03 - 2010-10-09,+0%
2010-10-10 - 2010-10-16,+0%
2010-10-17 - 2010-10-23,-4%
2010-10-24 - 2010-10-30,-1%
2010-10-31 - 2010-11-06,-2%
2010-11-07 - 2010-11-13,+2%
2010-11-14 - 2010-11-20,+0%
2010-11-21 - 2010-11-27,-1%
2010-11-28 - 2010-12-04,+3%
2010-12-05 - 2010-12-11,-1%
2010-12-12 - 2010-12-18,-1%
2010-12-19 - 2010-12-25,+5%
2010-12-26 - 2011-01-01,+8%



Top searches
mail,100
yahoo,90
mail yahoo,75
google,40
verizon,40
iphone,40
msn,30
blackberry,25
aol,25
hotmail,20
at&t,20
email,20
att,15
verizon wireless,15
samsung,15
android,15
twitter,15
sprint,10
htc,10
webmail,10



Rising searches
ipad,Breakout
iphone 4,Breakout
funformobile,+2,550%
hotmail iniciar sesion,+2,550%
tumblr,+400%
myxer,+300%
android,+250%
verizon iphone,+130%
ebuddy,+110%
htc,+80%



