Web Search interest
United States; 2010

Interest over time
Week,Shopping
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-7%
2010-01-17 - 2010-01-23,-7%
2010-01-24 - 2010-01-30,-9%
2010-01-31 - 2010-02-06,-10%
2010-02-07 - 2010-02-13,-4%
2010-02-14 - 2010-02-20,-7%
2010-02-21 - 2010-02-27,-10%
2010-02-28 - 2010-03-06,-6%
2010-03-07 - 2010-03-13,-10%
2010-03-14 - 2010-03-20,-7%
2010-03-21 - 2010-03-27,-10%
2010-03-28 - 2010-04-03,-9%
2010-04-04 - 2010-04-10,-7%
2010-04-11 - 2010-04-17,-10%
2010-04-18 - 2010-04-24,-13%
2010-04-25 - 2010-05-01,-7%
2010-05-02 - 2010-05-08,-6%
2010-05-09 - 2010-05-15,-9%
2010-05-16 - 2010-05-22,-7%
2010-05-23 - 2010-05-29,-6%
2010-05-30 - 2010-06-05,-4%
2010-06-06 - 2010-06-12,-6%
2010-06-13 - 2010-06-19,-1%
2010-06-20 - 2010-06-26,-3%
2010-06-27 - 2010-07-03,-4%
2010-07-04 - 2010-07-10,-7%
2010-07-11 - 2010-07-17,-6%
2010-07-18 - 2010-07-24,-6%
2010-07-25 - 2010-07-31,-7%
2010-08-01 - 2010-08-07,-6%
2010-08-08 - 2010-08-14,-3%
2010-08-15 - 2010-08-21,-3%
2010-08-22 - 2010-08-28,-4%
2010-08-29 - 2010-09-04,-9%
2010-09-05 - 2010-09-11,-6%
2010-09-12 - 2010-09-18,-6%
2010-09-19 - 2010-09-25,-6%
2010-09-26 - 2010-10-02,-6%
2010-10-03 - 2010-10-09,-3%
2010-10-10 - 2010-10-16,-3%
2010-10-17 - 2010-10-23,-1%
2010-10-24 - 2010-10-30,+0%
2010-10-31 - 2010-11-06,-6%
2010-11-07 - 2010-11-13,+4%
2010-11-14 - 2010-11-20,+7%
2010-11-21 - 2010-11-27,+45%
2010-11-28 - 2010-12-04,+25%
2010-12-05 - 2010-12-11,+20%
2010-12-12 - 2010-12-18,+26%
2010-12-19 - 2010-12-25,+28%
2010-12-26 - 2011-01-01,+23%



Top searches
ebay,100
walmart,85
coupons,80
amazon,65
target,50
netflix,50
best buy,50
ipod,45
xbox,40
sony,30
pandora,30
nike,30
sears,25
kohls,25
ipod touch,25
ps3,20
xbox 360,20
costco,20
black friday,20
macys,20



Rising searches
apple ipad,Breakout
black friday 2010,Breakout
ipad,Breakout
groupon,+1,200%
mercadolibre,+140%
kelley blue book,+80%
kindle,+80%
netflix,+70%
redbox,+50%
etsy,+40%



