Web Search interest
United States; 2011

Interest over time
Week,Law & Government
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-2%
2011-01-16 - 2011-01-22,+0%
2011-01-23 - 2011-01-29,+1%
2011-01-30 - 2011-02-05,-6%
2011-02-06 - 2011-02-12,-1%
2011-02-13 - 2011-02-19,-2%
2011-02-20 - 2011-02-26,+0%
2011-02-27 - 2011-03-05,-1%
2011-03-06 - 2011-03-12,-5%
2011-03-13 - 2011-03-19,-1%
2011-03-20 - 2011-03-26,-2%
2011-03-27 - 2011-04-02,-2%
2011-04-03 - 2011-04-09,+5%
2011-04-10 - 2011-04-16,+2%
2011-04-17 - 2011-04-23,-4%
2011-04-24 - 2011-04-30,+19%
2011-05-01 - 2011-05-07,+11%
2011-05-08 - 2011-05-14,-4%
2011-05-15 - 2011-05-21,-1%
2011-05-22 - 2011-05-28,-4%
2011-05-29 - 2011-06-04,-6%
2011-06-05 - 2011-06-11,-5%
2011-06-12 - 2011-06-18,-5%
2011-06-19 - 2011-06-25,-2%
2011-06-26 - 2011-07-02,-5%
2011-07-03 - 2011-07-09,-4%
2011-07-10 - 2011-07-16,-4%
2011-07-17 - 2011-07-23,-7%
2011-07-24 - 2011-07-30,-6%
2011-07-31 - 2011-08-06,-5%
2011-08-07 - 2011-08-13,-7%
2011-08-14 - 2011-08-20,-7%
2011-08-21 - 2011-08-27,-6%
2011-08-28 - 2011-09-03,-10%
2011-09-04 - 2011-09-10,-8%
2011-09-11 - 2011-09-17,-4%
2011-09-18 - 2011-09-24,-2%
2011-09-25 - 2011-10-01,-4%
2011-10-02 - 2011-10-08,+2%
2011-10-09 - 2011-10-15,-6%
2011-10-16 - 2011-10-22,-1%
2011-10-23 - 2011-10-29,-5%
2011-10-30 - 2011-11-05,-5%
2011-11-06 - 2011-11-12,-1%
2011-11-13 - 2011-11-19,-5%
2011-11-20 - 2011-11-26,-20%
2011-11-27 - 2011-12-03,-8%
2011-12-04 - 2011-12-10,-7%
2011-12-11 - 2011-12-17,-10%
2011-12-18 - 2011-12-24,-15%
2011-12-25 - 2011-12-31,-24%



Top searches
mapquest,100
police,45
unemployment,40
army,30
texas,25
military,25
attorney,25
navy,20
obama,20
act,15
driving directions,15
child support,15
map quest,10
lawyer,10
passport,10
air force,10
ako,10
maps,10
sheriff,10
immigration,10



Rising searches
gaddafi,+4,900%
royal wedding,+4,450%
amanda knox,+850%
rick perry,+800%
living social,+750%
prince william,+130%
narco blog,+90%
blog del narco,+80%
budget,+50%
jared,+50%



