Web Search interest
United States; 2011

Interest over time
Week,Pets & Animals
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-9%
2011-01-16 - 2011-01-22,-8%
2011-01-23 - 2011-01-29,-9%
2011-01-30 - 2011-02-05,-10%
2011-02-06 - 2011-02-12,-5%
2011-02-13 - 2011-02-19,+0%
2011-02-20 - 2011-02-26,-10%
2011-02-27 - 2011-03-05,-9%
2011-03-06 - 2011-03-12,-9%
2011-03-13 - 2011-03-19,-4%
2011-03-20 - 2011-03-26,-1%
2011-03-27 - 2011-04-02,-1%
2011-04-03 - 2011-04-09,+5%
2011-04-10 - 2011-04-16,-1%
2011-04-17 - 2011-04-23,+3%
2011-04-24 - 2011-04-30,+1%
2011-05-01 - 2011-05-07,+0%
2011-05-08 - 2011-05-14,+3%
2011-05-15 - 2011-05-21,+3%
2011-05-22 - 2011-05-28,+5%
2011-05-29 - 2011-06-04,+8%
2011-06-05 - 2011-06-11,+3%
2011-06-12 - 2011-06-18,+5%
2011-06-19 - 2011-06-25,+3%
2011-06-26 - 2011-07-02,+5%
2011-07-03 - 2011-07-09,+5%
2011-07-10 - 2011-07-16,+5%
2011-07-17 - 2011-07-23,+1%
2011-07-24 - 2011-07-30,-1%
2011-07-31 - 2011-08-06,+2%
2011-08-07 - 2011-08-13,+1%
2011-08-14 - 2011-08-20,+2%
2011-08-21 - 2011-08-27,-2%
2011-08-28 - 2011-09-03,-3%
2011-09-04 - 2011-09-10,-1%
2011-09-11 - 2011-09-17,-7%
2011-09-18 - 2011-09-24,-7%
2011-09-25 - 2011-10-01,+2%
2011-10-02 - 2011-10-08,-5%
2011-10-09 - 2011-10-15,-2%
2011-10-16 - 2011-10-22,+0%
2011-10-23 - 2011-10-29,-1%
2011-10-30 - 2011-11-05,-8%
2011-11-06 - 2011-11-12,-4%
2011-11-13 - 2011-11-19,-4%
2011-11-20 - 2011-11-26,+2%
2011-11-27 - 2011-12-03,+0%
2011-12-04 - 2011-12-10,-2%
2011-12-11 - 2011-12-17,+1%
2011-12-18 - 2011-12-24,+1%
2011-12-25 - 2011-12-31,+9%



Top searches
dog,100
dogs,45
birds,45
puppies,40
cat,35
angry birds,35
fish,25
cats,20
zoo,20
puppy,20
horse,15
petsmart,15
puppies for sale,10
petco,10
horses,10
bulldog,10
hamster,10
grooveshark,10
humane society,10
pitbull,10



Rising searches
angry birds rio,Breakout
terraria,Breakout
honey badger,+2,350%
angry birds online,+1,200%
angry birds,+500%
angry birds game,+450%
my little pony,+300%
birds,+200%
pet smart,+60%
wale,+60%



