Web Search interest
United States; 2012

Interest over time
Week,Beauty & Fitness
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-1%
2012-01-15 - 2012-01-21,+2%
2012-01-22 - 2012-01-28,-1%
2012-01-29 - 2012-02-04,-4%
2012-02-05 - 2012-02-11,+1%
2012-02-12 - 2012-02-18,-7%
2012-02-19 - 2012-02-25,-1%
2012-02-26 - 2012-03-03,+1%
2012-03-04 - 2012-03-10,-4%
2012-03-11 - 2012-03-17,-4%
2012-03-18 - 2012-03-24,-4%
2012-03-25 - 2012-03-31,-5%
2012-04-01 - 2012-04-07,-2%
2012-04-08 - 2012-04-14,-4%
2012-04-15 - 2012-04-21,-2%
2012-04-22 - 2012-04-28,+1%
2012-04-29 - 2012-05-05,-1%
2012-05-06 - 2012-05-12,-4%
2012-05-13 - 2012-05-19,+0%
2012-05-20 - 2012-05-26,-1%
2012-05-27 - 2012-06-02,+3%
2012-06-03 - 2012-06-09,+3%
2012-06-10 - 2012-06-16,+0%
2012-06-17 - 2012-06-23,+0%
2012-06-24 - 2012-06-30,+0%
2012-07-01 - 2012-07-07,-3%
2012-07-08 - 2012-07-14,+2%
2012-07-15 - 2012-07-21,+4%
2012-07-22 - 2012-07-28,+2%
2012-07-29 - 2012-08-04,+2%
2012-08-05 - 2012-08-11,-1%
2012-08-12 - 2012-08-18,-4%
2012-08-19 - 2012-08-25,+0%
2012-08-26 - 2012-09-01,-4%
2012-09-02 - 2012-09-08,-3%
2012-09-09 - 2012-09-15,-5%
2012-09-16 - 2012-09-22,-5%
2012-09-23 - 2012-09-29,-9%
2012-09-30 - 2012-10-06,-8%
2012-10-07 - 2012-10-13,-8%
2012-10-14 - 2012-10-20,-9%
2012-10-21 - 2012-10-27,-12%
2012-10-28 - 2012-11-03,-18%
2012-11-04 - 2012-11-10,-14%
2012-11-11 - 2012-11-17,-6%
2012-11-18 - 2012-11-24,-11%
2012-11-25 - 2012-12-01,-8%
2012-12-02 - 2012-12-08,-5%
2012-12-09 - 2012-12-15,-8%
2012-12-16 - 2012-12-22,-3%
2012-12-23 - 2012-12-29,-2%
2012-12-30 - 2013-01-05,+4%



Top searches
tattoo,100
tattoos,75
face,60
hairstyles,55
yoga,50
makeup,35
nails,35
haircuts,20
crossfit,20
fashion,20
hair color,15
exercise,15
weight watchers,15
haircut,15
short hair,15
cincinnati,15
sephora,15
models,10
louis vuitton,10
hair styles,10



Rising searches
harry styles,+2,500%
hairstyles 2012,+2,200%
hostess,+650%
bath salts,+140%
nail designs,+100%
insanity workout,+80%
michael kors,+80%
yoga pants,+80%
nail art,+70%
short hairstyles,+70%



