Web Search interest
United States; 2013

Interest over time
Week,Online Communities
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+0%
2013-01-20 - 2013-01-26,-1%
2013-01-27 - 2013-02-02,-2%
2013-02-03 - 2013-02-09,-5%
2013-02-10 - 2013-02-16,-3%
2013-02-17 - 2013-02-23,-7%
2013-02-24 - 2013-03-02,-6%
2013-03-03 - 2013-03-09,-8%
2013-03-10 - 2013-03-16,-6%
2013-03-17 - 2013-03-23,-1%
2013-03-24 - 2013-03-30,-3%
2013-03-31 - 2013-04-06,-2%
2013-04-07 - 2013-04-13,-6%
2013-04-14 - 2013-04-20,-9%
2013-04-21 - 2013-04-27,-6%
2013-04-28 - 2013-05-04,-8%
2013-05-05 - 2013-05-11,-8%
2013-05-12 - 2013-05-18,-8%
2013-05-19 - 2013-05-25,-5%
2013-05-26 - 2013-06-01,-1%
2013-06-02 - 2013-06-08,-5%
2013-06-09 - 2013-06-15,-2%
2013-06-16 - 2013-06-22,-3%
2013-06-23 - 2013-06-29,-3%
2013-06-30 - 2013-07-06,+0%
2013-07-07 - 2013-07-13,-4%
2013-07-14 - 2013-07-20,-5%
2013-07-21 - 2013-07-27,-3%
2013-07-28 - 2013-08-03,-8%
2013-08-04 - 2013-08-10,-8%
2013-08-11 - 2013-08-17,-7%
2013-08-18 - 2013-08-24,-9%
2013-08-25 - 2013-08-31,-8%
2013-09-01 - 2013-09-07,-11%
2013-09-08 - 2013-09-14,-14%
2013-09-15 - 2013-09-21,-10%
2013-09-22 - 2013-09-28,-13%
2013-09-29 - 2013-10-05,-16%
2013-10-06 - 2013-10-12,-16%
2013-10-13 - 2013-10-19,-17%
2013-10-20 - 2013-10-26,-14%
2013-10-27 - 2013-11-02,-14%
2013-11-03 - 2013-11-09,-14%
2013-11-10 - 2013-11-16,-15%
2013-11-17 - 2013-11-23,-14%
2013-11-24 - 2013-11-30,-14%
2013-12-01 - 2013-12-07,-18%
2013-12-08 - 2013-12-14,-19%
2013-12-15 - 2013-12-21,-16%
2013-12-22 - 2013-12-28,-8%
2013-12-29 - 2014-01-04,-11%



Top searches
facebook,100
login facebook,5
twitter,5
tumblr,5
linkedin,0
wallpaper,0
torrent,0
pof,0
club penguin,0
chat,0
gif,0
women,0
face,0
images,0
pirate bay,0
mocospace,0
shutterfly,0
okcupid,0
gifs,0
plenty of fish,0



Rising searches
megashare,+1,550%
hump day,+500%
facebook home,+300%
instagram,+180%
facebook home page,+170%
gmod,+90%
gif,+70%
gifs,+60%
odnoklassniki,+40%
pirates bay,+40%



