Web Search interest
United States; 2013

Interest over time
Week,Travel
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-4%
2013-01-20 - 2013-01-26,-5%
2013-01-27 - 2013-02-02,-4%
2013-02-03 - 2013-02-09,-6%
2013-02-10 - 2013-02-16,-1%
2013-02-17 - 2013-02-23,+0%
2013-02-24 - 2013-03-02,+0%
2013-03-03 - 2013-03-09,+3%
2013-03-10 - 2013-03-16,+5%
2013-03-17 - 2013-03-23,+4%
2013-03-24 - 2013-03-30,+3%
2013-03-31 - 2013-04-06,+1%
2013-04-07 - 2013-04-13,-1%
2013-04-14 - 2013-04-20,-5%
2013-04-21 - 2013-04-27,-1%
2013-04-28 - 2013-05-04,-1%
2013-05-05 - 2013-05-11,+1%
2013-05-12 - 2013-05-18,+9%
2013-05-19 - 2013-05-25,+9%
2013-05-26 - 2013-06-01,+12%
2013-06-02 - 2013-06-08,+13%
2013-06-09 - 2013-06-15,+18%
2013-06-16 - 2013-06-22,+21%
2013-06-23 - 2013-06-29,+19%
2013-06-30 - 2013-07-06,+28%
2013-07-07 - 2013-07-13,+21%
2013-07-14 - 2013-07-20,+22%
2013-07-21 - 2013-07-27,+23%
2013-07-28 - 2013-08-03,+21%
2013-08-04 - 2013-08-10,+18%
2013-08-11 - 2013-08-17,+12%
2013-08-18 - 2013-08-24,+12%
2013-08-25 - 2013-08-31,+3%
2013-09-01 - 2013-09-07,+3%
2013-09-08 - 2013-09-14,-5%
2013-09-15 - 2013-09-21,+3%
2013-09-22 - 2013-09-28,-4%
2013-09-29 - 2013-10-05,-5%
2013-10-06 - 2013-10-12,-5%
2013-10-13 - 2013-10-19,-8%
2013-10-20 - 2013-10-26,-8%
2013-10-27 - 2013-11-02,-10%
2013-11-03 - 2013-11-09,-12%
2013-11-10 - 2013-11-16,-13%
2013-11-17 - 2013-11-23,-14%
2013-11-24 - 2013-11-30,-15%
2013-12-01 - 2013-12-07,-17%
2013-12-08 - 2013-12-14,-14%
2013-12-15 - 2013-12-21,-13%
2013-12-22 - 2013-12-28,-4%
2013-12-29 - 2014-01-04,+5%



Top searches
beach,100
hotels,95
southwest,85
flights,75
las vegas,75
united,55
disney,50
southwest airlines,50
delta,50
cruise,45
car rental,45
united airlines,40
expedia,35
travel,35
american airlines,35
marriott,35
hilton,30
cheap flights,30
amtrak,25
enterprise,25



Rising searches
attack on titan,Breakout
fruitvale station,Breakout
ios 7,Breakout
ios 7 download,Breakout
trivago,+400%
holidays 2013,+250%
trinidad james,+130%
google flights,+110%
graceland,+90%
las vegas craigslist,+60%



