Web Search interest
United States; 2014

Interest over time
Week,Games
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,+3%
2014-01-26 - 2014-02-01,+1%
2014-02-02 - 2014-02-08,+0%
2014-02-09 - 2014-02-15,-1%
2014-02-16 - 2014-02-22,+4%
2014-02-23 - 2014-03-01,+0%
2014-03-02 - 2014-03-08,+1%
2014-03-09 - 2014-03-15,+0%
2014-03-16 - 2014-03-22,+4%
2014-03-23 - 2014-03-29,-1%
2014-03-30 - 2014-04-05,-1%
2014-04-06 - 2014-04-12,-3%
2014-04-13 - 2014-04-19,-4%
2014-04-20 - 2014-04-26,-4%
2014-04-27 - 2014-05-03,+0%
2014-05-04 - 2014-05-10,-5%
2014-05-11 - 2014-05-17,-3%
2014-05-18 - 2014-05-24,-2%
2014-05-25 - 2014-05-31,+0%
2014-06-01 - 2014-06-07,+2%
2014-06-08 - 2014-06-14,+5%
2014-06-15 - 2014-06-21,+2%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,+4%
2014-07-06 - 2014-07-12,+1%
2014-07-13 - 2014-07-19,-2%
2014-07-20 - 2014-07-26,+0%
2014-07-27 - 2014-08-02,-3%
2014-08-03 - 2014-08-09,-2%
2014-08-10 - 2014-08-16,-2%
2014-08-17 - 2014-08-23,-4%
2014-08-24 - 2014-08-30,-5%
2014-08-31 - 2014-09-06,-6%
2014-09-07 - 2014-09-13,-9%
2014-09-14 - 2014-09-20,+6%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
games,100
lottery,50
game,50
pokemon,35
xbox,35
ps3,15
cool math,15
cool games,15
cool math games,15
minecraft,15
skyrim,15
mario,10
free games,10
gta 5,10
powerball,10
wow,10
xbox one,10
ps4,10
mega millions,10
fifa,10



Rising searches
flappy bird,Breakout
madden 15,Breakout
dark souls 2,+1,300%
togel,+450%
fifa,+200%
oculus,+200%
sims 4,+190%
elder scrolls online,+110%
diablo 3,+100%
smash bros,+100%



