Web Search interest
United States; 2014

Interest over time
Week,People & Society
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,-2%
2014-01-26 - 2014-02-01,-2%
2014-02-02 - 2014-02-08,-2%
2014-02-09 - 2014-02-15,-2%
2014-02-16 - 2014-02-22,+0%
2014-02-23 - 2014-03-01,+0%
2014-03-02 - 2014-03-08,+3%
2014-03-09 - 2014-03-15,-1%
2014-03-16 - 2014-03-22,-2%
2014-03-23 - 2014-03-29,-2%
2014-03-30 - 2014-04-05,+0%
2014-04-06 - 2014-04-12,+2%
2014-04-13 - 2014-04-19,+4%
2014-04-20 - 2014-04-26,+3%
2014-04-27 - 2014-05-03,+0%
2014-05-04 - 2014-05-10,-1%
2014-05-11 - 2014-05-17,-2%
2014-05-18 - 2014-05-24,+0%
2014-05-25 - 2014-05-31,+1%
2014-06-01 - 2014-06-07,-2%
2014-06-08 - 2014-06-14,-4%
2014-06-15 - 2014-06-21,-1%
2014-06-22 - 2014-06-28,-3%
2014-06-29 - 2014-07-05,-6%
2014-07-06 - 2014-07-12,-3%
2014-07-13 - 2014-07-19,-3%
2014-07-20 - 2014-07-26,-1%
2014-07-27 - 2014-08-02,-3%
2014-08-03 - 2014-08-09,-3%
2014-08-10 - 2014-08-16,-6%
2014-08-17 - 2014-08-23,-1%
2014-08-24 - 2014-08-30,-2%
2014-08-31 - 2014-09-06,+0%
2014-09-07 - 2014-09-13,-1%
2014-09-14 - 2014-09-20,+2%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
girls,100
bible,75
hot,65
us,55
cool math,50
horoscope,45
love,45
cool math games,45
social security,25
babies r us,25
jesus,25
tmz,25
pandora,25
mom,20
karma,20
univision,20
credit karma,15
baby names,15
friends,15
india,15



Rising searches
james foley,Breakout
jen selter,+1,400%
son of god,+950%
juan pablo,+600%
maya angelou,+400%
duggars,+160%
credit karma,+130%
karma,+90%
buzzfeed,+70%
garcinia cambogia,+60%



