Web Search interest
United States; Past 12 months

Interest over time
Week,Arts & Entertainment
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,-1%
2013-10-06 - 2013-10-12,+1%
2013-10-13 - 2013-10-19,+2%
2013-10-20 - 2013-10-26,+1%
2013-10-27 - 2013-11-02,+6%
2013-11-03 - 2013-11-09,+1%
2013-11-10 - 2013-11-16,+1%
2013-11-17 - 2013-11-23,+0%
2013-11-24 - 2013-11-30,+8%
2013-12-01 - 2013-12-07,+0%
2013-12-08 - 2013-12-14,+1%
2013-12-15 - 2013-12-21,+5%
2013-12-22 - 2013-12-28,+15%
2013-12-29 - 2014-01-04,+8%
2014-01-05 - 2014-01-11,+2%
2014-01-12 - 2014-01-18,+5%
2014-01-19 - 2014-01-25,+5%
2014-01-26 - 2014-02-01,+6%
2014-02-02 - 2014-02-08,+3%
2014-02-09 - 2014-02-15,-1%
2014-02-16 - 2014-02-22,+1%
2014-02-23 - 2014-03-01,+3%
2014-03-02 - 2014-03-08,+5%
2014-03-09 - 2014-03-15,+1%
2014-03-16 - 2014-03-22,-1%
2014-03-23 - 2014-03-29,+3%
2014-03-30 - 2014-04-05,+3%
2014-04-06 - 2014-04-12,+5%
2014-04-13 - 2014-04-19,+2%
2014-04-20 - 2014-04-26,+0%
2014-04-27 - 2014-05-03,+1%
2014-05-04 - 2014-05-10,+1%
2014-05-11 - 2014-05-17,+5%
2014-05-18 - 2014-05-24,+5%
2014-05-25 - 2014-05-31,+2%
2014-06-01 - 2014-06-07,+3%
2014-06-08 - 2014-06-14,+3%
2014-06-15 - 2014-06-21,+1%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,+3%
2014-07-06 - 2014-07-12,+3%
2014-07-13 - 2014-07-19,+2%
2014-07-20 - 2014-07-26,+6%
2014-07-27 - 2014-08-02,+5%
2014-08-03 - 2014-08-09,+5%
2014-08-10 - 2014-08-16,+7%
2014-08-17 - 2014-08-23,+2%
2014-08-24 - 2014-08-30,+2%
2014-08-31 - 2014-09-06,+3%
2014-09-07 - 2014-09-13,-5%
2014-09-14 - 2014-09-20,+8%



Top searches
youtube,100
you,30
movies,30
google,20
netflix,20
facebook,10
imdb,10
disney,5
you tube,5
worldstarhiphop,5
miley cyrus,5
beyonce,5
walking dead,5
amazon,5
hulu,5
jokes,5
twitter,5
yahoo,5
youtube to mp3,5
redbox,5



Rising searches
frozen,+1,600%
robin williams,+1,200%
iggy azalea,+800%
godzilla,+450%
megashare,+400%
clash of clans,+300%
captain america,+190%
jimmy fallon,+190%
instagram,+80%
rainbow,+70%



