Web Search interest
United States; Past 12 months

Interest over time
Week,News
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-7%
2013-09-29 - 2013-10-05,+3%
2013-10-06 - 2013-10-12,-4%
2013-10-13 - 2013-10-19,-3%
2013-10-20 - 2013-10-26,-7%
2013-10-27 - 2013-11-02,-4%
2013-11-03 - 2013-11-09,-3%
2013-11-10 - 2013-11-16,-7%
2013-11-17 - 2013-11-23,-1%
2013-11-24 - 2013-11-30,-4%
2013-12-01 - 2013-12-07,+32%
2013-12-08 - 2013-12-14,+9%
2013-12-15 - 2013-12-21,-3%
2013-12-22 - 2013-12-28,-7%
2013-12-29 - 2014-01-04,+7%
2014-01-05 - 2014-01-11,+17%
2014-01-12 - 2014-01-18,-4%
2014-01-19 - 2014-01-25,+13%
2014-01-26 - 2014-02-01,+20%
2014-02-02 - 2014-02-08,+33%
2014-02-09 - 2014-02-15,+21%
2014-02-16 - 2014-02-22,+1%
2014-02-23 - 2014-03-01,+3%
2014-03-02 - 2014-03-08,+9%
2014-03-09 - 2014-03-15,+4%
2014-03-16 - 2014-03-22,+1%
2014-03-23 - 2014-03-29,+1%
2014-03-30 - 2014-04-05,-1%
2014-04-06 - 2014-04-12,-3%
2014-04-13 - 2014-04-19,-3%
2014-04-20 - 2014-04-26,-3%
2014-04-27 - 2014-05-03,+1%
2014-05-04 - 2014-05-10,+1%
2014-05-11 - 2014-05-17,+12%
2014-05-18 - 2014-05-24,-3%
2014-05-25 - 2014-05-31,+0%
2014-06-01 - 2014-06-07,-4%
2014-06-08 - 2014-06-14,-3%
2014-06-15 - 2014-06-21,-4%
2014-06-22 - 2014-06-28,-4%
2014-06-29 - 2014-07-05,+0%
2014-07-06 - 2014-07-12,-5%
2014-07-13 - 2014-07-19,-1%
2014-07-20 - 2014-07-26,-4%
2014-07-27 - 2014-08-02,-1%
2014-08-03 - 2014-08-09,-4%
2014-08-10 - 2014-08-16,-5%
2014-08-17 - 2014-08-23,-4%
2014-08-24 - 2014-08-30,-5%
2014-08-31 - 2014-09-06,+3%
2014-09-07 - 2014-09-13,+0%
2014-09-14 - 2014-09-20,-11%



Top searches
weather,100
news,65
cnn,20
fox news,10
yahoo,5
weather channel,5
weather forecast,5
miley cyrus,5
accuweather,5
drudge,5
paul walker,5
weather radar,5
kim kardashian,5
espn,5
bbc,5
school closings,5
drudge report,5
huffington post,5
noaa,5
cnn news,5



Rising searches
paul walker dead,Breakout
paul walker,+3,450%
philip seymour hoffman,+2,350%
tiempo,+200%
beyonce,+190%
kendall jenner,+120%
school closings,+110%
kylie jenner,+90%
cristiano ronaldo,+80%
zac efron,+80%



