Web Search interest
United States; Past 12 months

Interest over time
Week,Pets & Animals
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+1%
2013-09-29 - 2013-10-05,+3%
2013-10-06 - 2013-10-12,+6%
2013-10-13 - 2013-10-19,+9%
2013-10-20 - 2013-10-26,+8%
2013-10-27 - 2013-11-02,+7%
2013-11-03 - 2013-11-09,+3%
2013-11-10 - 2013-11-16,+3%
2013-11-17 - 2013-11-23,+1%
2013-11-24 - 2013-11-30,+5%
2013-12-01 - 2013-12-07,-5%
2013-12-08 - 2013-12-14,-2%
2013-12-15 - 2013-12-21,+3%
2013-12-22 - 2013-12-28,+13%
2013-12-29 - 2014-01-04,+6%
2014-01-05 - 2014-01-11,+1%
2014-01-12 - 2014-01-18,+3%
2014-01-19 - 2014-01-25,+3%
2014-01-26 - 2014-02-01,+0%
2014-02-02 - 2014-02-08,+2%
2014-02-09 - 2014-02-15,+5%
2014-02-16 - 2014-02-22,+3%
2014-02-23 - 2014-03-01,+3%
2014-03-02 - 2014-03-08,+2%
2014-03-09 - 2014-03-15,+1%
2014-03-16 - 2014-03-22,+0%
2014-03-23 - 2014-03-29,+6%
2014-03-30 - 2014-04-05,+2%
2014-04-06 - 2014-04-12,+7%
2014-04-13 - 2014-04-19,+3%
2014-04-20 - 2014-04-26,+9%
2014-04-27 - 2014-05-03,+8%
2014-05-04 - 2014-05-10,+11%
2014-05-11 - 2014-05-17,+15%
2014-05-18 - 2014-05-24,+13%
2014-05-25 - 2014-05-31,+13%
2014-06-01 - 2014-06-07,+5%
2014-06-08 - 2014-06-14,+7%
2014-06-15 - 2014-06-21,+5%
2014-06-22 - 2014-06-28,+7%
2014-06-29 - 2014-07-05,+8%
2014-07-06 - 2014-07-12,+10%
2014-07-13 - 2014-07-19,+7%
2014-07-20 - 2014-07-26,+8%
2014-07-27 - 2014-08-02,+8%
2014-08-03 - 2014-08-09,+6%
2014-08-10 - 2014-08-16,+3%
2014-08-17 - 2014-08-23,+6%
2014-08-24 - 2014-08-30,+3%
2014-08-31 - 2014-09-06,+1%
2014-09-07 - 2014-09-13,-1%
2014-09-14 - 2014-09-20,+11%



Top searches
dog,100
dogs,45
cat,45
puppies,35
animal,35
pet,30
fish,20
cats,20
puppy,15
petsmart,15
zoo,15
horse,15
birds,15
puppies for sale,10
petco,10
bulldog,10
pitbull,10
snake,10
horses,10
terraria,5



Rising searches
flappy bird,Breakout
cookie clicker,+3,100%
krokodil,+600%
krokodil drug,+600%
watch dogs,+400%
pomsky,+200%
pomsky puppies,+200%
anaconda,+190%
sam and cat,+120%
terraria,+110%



