Web Search interest
United States; Past 12 months

Interest over time
Week,Shopping
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+2%
2013-09-29 - 2013-10-05,+3%
2013-10-06 - 2013-10-12,+7%
2013-10-13 - 2013-10-19,+7%
2013-10-20 - 2013-10-26,+7%
2013-10-27 - 2013-11-02,+7%
2013-11-03 - 2013-11-09,+8%
2013-11-10 - 2013-11-16,+16%
2013-11-17 - 2013-11-23,+20%
2013-11-24 - 2013-11-30,+64%
2013-12-01 - 2013-12-07,+38%
2013-12-08 - 2013-12-14,+33%
2013-12-15 - 2013-12-21,+33%
2013-12-22 - 2013-12-28,+39%
2013-12-29 - 2014-01-04,+15%
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-3%
2014-01-19 - 2014-01-25,-3%
2014-01-26 - 2014-02-01,-5%
2014-02-02 - 2014-02-08,-2%
2014-02-09 - 2014-02-15,+3%
2014-02-16 - 2014-02-22,+0%
2014-02-23 - 2014-03-01,-3%
2014-03-02 - 2014-03-08,+0%
2014-03-09 - 2014-03-15,+0%
2014-03-16 - 2014-03-22,-2%
2014-03-23 - 2014-03-29,+0%
2014-03-30 - 2014-04-05,+0%
2014-04-06 - 2014-04-12,+0%
2014-04-13 - 2014-04-19,+0%
2014-04-20 - 2014-04-26,-3%
2014-04-27 - 2014-05-03,+2%
2014-05-04 - 2014-05-10,+5%
2014-05-11 - 2014-05-17,+0%
2014-05-18 - 2014-05-24,-2%
2014-05-25 - 2014-05-31,+0%
2014-06-01 - 2014-06-07,-2%
2014-06-08 - 2014-06-14,+0%
2014-06-15 - 2014-06-21,-3%
2014-06-22 - 2014-06-28,-2%
2014-06-29 - 2014-07-05,+2%
2014-07-06 - 2014-07-12,-2%
2014-07-13 - 2014-07-19,+3%
2014-07-20 - 2014-07-26,+3%
2014-07-27 - 2014-08-02,+3%
2014-08-03 - 2014-08-09,+3%
2014-08-10 - 2014-08-16,+2%
2014-08-17 - 2014-08-23,+2%
2014-08-24 - 2014-08-30,+2%
2014-08-31 - 2014-09-06,+3%
2014-09-07 - 2014-09-13,-3%
2014-09-14 - 2014-09-20,+10%



Top searches
amazon,100
walmart,80
ebay,75
netflix,55
shoes,50
coupons,50
target,45
google,30
best buy,30
pandora,30
xbox,30
nike,30
craigslist,20
costco,20
nordstrom,20
kohls,15
jcpenney,15
sears,15
gamestop,15
lego,15



Rising searches
black friday 2013,Breakout
gta 5 cheats,Breakout
samsung galaxy s5,Breakout
joan rivers,+1,000%
selfie,+950%
xbox one,+200%
ps4,+120%
alex and ani,+80%
wayfair,+80%
retailmenot,+60%



