Web Search interest
United States; Past 30 days

Interest over time
Day,Beauty & Fitness
2014-08-17,+0%
2014-08-18,-5%
2014-08-19,-3%
2014-08-20,-7%
2014-08-21,-6%
2014-08-22,-4%
2014-08-23,-1%
2014-08-24,-4%
2014-08-25,-8%
2014-08-26,-8%
2014-08-27,-10%
2014-08-28,-9%
2014-08-29,-7%
2014-08-30,+0%
2014-08-31,-2%
2014-09-01,+0%
2014-09-02,-8%
2014-09-03,-7%
2014-09-04,-2%
2014-09-05,-7%
2014-09-06,+4%
2014-09-07,-5%
2014-09-08,-9%
2014-09-09,-11%
2014-09-10,-10%
2014-09-11,-11%
2014-09-12,-10%
2014-09-13,-4%
2014-09-14,-7%
2014-09-15, 
2014-09-16, 



Top searches
tattoo,100
tattoos,65
face,65
yoga,65
hairstyles,55
nails,50
makeup,45
joan rivers,30
weight loss,25
crossfit,20
short hair,20
sephora,15
cincinnati,15
ulta,15
short hairstyles,10
bodybuilding,10
nail salon,10
planet fitness,10
hair styles,10
kate upton,10



Rising searches
joan rivers,Breakout
joan rivers update,Breakout
kate upton photos,Breakout
melissa rivers,Breakout
kate upton,+500%
aesop,+250%
fashion week,+250%
miss america,+120%
short hair cuts,+60%
tom ford,+60%



