Web Search interest
United States; Past 30 days

Interest over time
Day,Business & Industrial
2014-08-17,+0%
2014-08-18,+36%
2014-08-19,+38%
2014-08-20,+35%
2014-08-21,+35%
2014-08-22,+33%
2014-08-23,+4%
2014-08-24,+1%
2014-08-25,+45%
2014-08-26,+45%
2014-08-27,+39%
2014-08-28,+35%
2014-08-29,+28%
2014-08-30,+3%
2014-08-31,-4%
2014-09-01,+4%
2014-09-02,+30%
2014-09-03,+33%
2014-09-04,+32%
2014-09-05,+28%
2014-09-06,+4%
2014-09-07,-3%
2014-09-08,+33%
2014-09-09,+33%
2014-09-10,+35%
2014-09-11,+33%
2014-09-12,+28%
2014-09-13,+4%
2014-09-14,-1%
2014-09-15, 
2014-09-16, 



Top searches
fb,100
usps,75
ups,65
water,55
fedex,55
paypal,40
usps tracking,35
staples,30
ups tracking,25
post office,25
fedex tracking,20
ferguson,20
amazon,20
office depot,20
walmart,15
home depot,15
adp,15
ebay,15
lowes,10
us airways,10



Rising searches
emmy winners 2014,Breakout
emmy winners,+4,500%
emmy awards 2014,+1,350%
emmys,+1,200%
2014 emmys,+1,150%
emmy awards,+1,150%
mcgraw hill connect,+300%
mcgraw hill,+250%
uhaul truck rental,+180%
apple stock,+70%



