Web Search interest
United States; Past 30 days

Interest over time
Day,Computers & Electronics
2014-08-17,+0%
2014-08-18,+15%
2014-08-19,+20%
2014-08-20,+17%
2014-08-21,+15%
2014-08-22,+11%
2014-08-23,-1%
2014-08-24,+1%
2014-08-25,+18%
2014-08-26,+20%
2014-08-27,+20%
2014-08-28,+17%
2014-08-29,+13%
2014-08-30,-1%
2014-08-31,-1%
2014-09-01,+1%
2014-09-02,+18%
2014-09-03,+17%
2014-09-04,+17%
2014-09-05,+15%
2014-09-06,-1%
2014-09-07,+0%
2014-09-08,+18%
2014-09-09,+41%
2014-09-10,+25%
2014-09-11,+21%
2014-09-12,+21%
2014-09-13,+0%
2014-09-14,-1%
2014-09-15, 
2014-09-16, 



Top searches
google,100
apple,80
chrome,45
xbox,40
hp,35
samsung,35
drive,35
microsoft,30
itunes,25
amazon,25
paypal,25
adobe,25
ipad,20
dell,20
macbook,20
java,20
google chrome,20
docs,20
canon,20
best buy,15



Rising searches
apple event,+2,450%
iphone 6,+300%
blackboard,+200%
hooda math,+180%
ios 8,+160%
galaxy note 4,+150%
alibaba,+120%
docs,+110%
google docs,+110%
apple,+60%



