Web Search interest
United States; Past 30 days

Interest over time
Day,Finance
2014-08-17,+0%
2014-08-18,+58%
2014-08-19,+63%
2014-08-20,+60%
2014-08-21,+55%
2014-08-22,+63%
2014-08-23,+18%
2014-08-24,-3%
2014-08-25,+58%
2014-08-26,+60%
2014-08-27,+53%
2014-08-28,+53%
2014-08-29,+67%
2014-08-30,+18%
2014-08-31,-7%
2014-09-01,+8%
2014-09-02,+65%
2014-09-03,+67%
2014-09-04,+58%
2014-09-05,+58%
2014-09-06,+15%
2014-09-07,-7%
2014-09-08,+52%
2014-09-09,+52%
2014-09-10,+55%
2014-09-11,+55%
2014-09-12,+62%
2014-09-13,+15%
2014-09-14,-5%
2014-09-15, 
2014-09-16, 



Top searches
bank,100
credit,65
wells fargo,35
chase,30
bank of america,25
capital one,15
calculator,15
loans,10
chase online,10
american express,10
pnc,5
money,5
citibank,5
credit one,5
usaa,5
chase bank,5
us bank,5
state farm,5
finance,5
geico,5



Rising searches
bankofamericaonline,+1,050%
edgenuity,+350%
synchrony bank,+120%
savings catcher,+80%
santander consumer usa,+70%
walmart savings catcher,+70%
wells fargo online,+70%
citi card,+40%
suncoast credit union,+40%



