Web Search interest
United States; Past 30 days

Interest over time
Day,Real Estate
2014-08-17,+0%
2014-08-18,+8%
2014-08-19,+3%
2014-08-20,+2%
2014-08-21,+0%
2014-08-22,-2%
2014-08-23,-5%
2014-08-24,-3%
2014-08-25,+1%
2014-08-26,+0%
2014-08-27,-1%
2014-08-28,-3%
2014-08-29,-3%
2014-08-30,-8%
2014-08-31,-8%
2014-09-01,-6%
2014-09-02,+1%
2014-09-03,-4%
2014-09-04,-4%
2014-09-05,-5%
2014-09-06,-11%
2014-09-07,-13%
2014-09-08,-1%
2014-09-09,-6%
2014-09-10,-6%
2014-09-11,-11%
2014-09-12,-12%
2014-09-13,-14%
2014-09-14,-13%
2014-09-15, 
2014-09-16, 



Top searches
apartments,100
rent,90
homes for sale,45
zillow,45
real,45
houses,40
real estate,40
house,40
home,25
florida,25
apartments for rent,20
apartment,20
houses for rent,20
homes for rent,15
realtor,15
houses for sale,15
trulia,10
orlando,10
tulsa,10
ny craigslist,10



Rising searches
student portal,+170%
fyf,+110%
google location history,+110%
freedom tower,+100%
craigslist richmond,+80%
location history,+80%
student,+80%
skyscraper,+50%
zillow rentals,+50%
booloo,+40%



