Web Search interest
United States; Past 30 days

Interest over time
Day,Shopping
2014-08-17,+0%
2014-08-18,-10%
2014-08-19,-15%
2014-08-20,-15%
2014-08-21,-13%
2014-08-22,-14%
2014-08-23,-2%
2014-08-24,-2%
2014-08-25,-18%
2014-08-26,-17%
2014-08-27,-17%
2014-08-28,-13%
2014-08-29,-13%
2014-08-30,-3%
2014-08-31,-1%
2014-09-01,+1%
2014-09-02,-19%
2014-09-03,-23%
2014-09-04,-13%
2014-09-05,-14%
2014-09-06,-6%
2014-09-07,-6%
2014-09-08,-20%
2014-09-09,-19%
2014-09-10,-20%
2014-09-11,-20%
2014-09-12,-17%
2014-09-13,-3%
2014-09-14,-4%
2014-09-15, 
2014-09-16, 



Top searches
amazon,100
walmart,75
ebay,70
shoes,50
coupons,50
netflix,50
target,40
joan rivers,30
google,30
nike,30
pandora,25
best buy,25
xbox,25
craigslist,20
ice bucket challenge,20
costco,20
nordstrom,15
jcpenney,15
kohls,15
sears,15



Rising searches
joan rivers,Breakout
ice bucket challenge,+650%
als,+550%
spirit halloween,+350%
homecoming dresses,+300%
iphone 6,+300%
halloween costumes,+250%
chegg,+150%
alibaba,+140%
prezi,+110%



