Web Search interest
United States; Past 30 days

Interest over time
Day,Sports
2014-08-17,+0%
2014-08-18,-15%
2014-08-19,-24%
2014-08-20,-26%
2014-08-21,-23%
2014-08-22,-24%
2014-08-23,-2%
2014-08-24,+5%
2014-08-25,-16%
2014-08-26,-21%
2014-08-27,-19%
2014-08-28,-15%
2014-08-29,-5%
2014-08-30,+24%
2014-08-31,+21%
2014-09-01,-2%
2014-09-02,-15%
2014-09-03,-15%
2014-09-04,-11%
2014-09-05,-5%
2014-09-06,+18%
2014-09-07,+56%
2014-09-08,+15%
2014-09-09,-2%
2014-09-10,-21%
2014-09-11,-21%
2014-09-12,-15%
2014-09-13,+16%
2014-09-14,+61%
2014-09-15, 
2014-09-16, 



Top searches
football,100
nfl,40
espn,35
fantasy football,20
ray rice,15
soccer,15
mlb,10
yahoo,10
us open,10
college football,10
basketball,10
mayweather,5
espn fantasy,5
wwe,5
nfl schedule,5
giants,5
seahawks,5
cowboys,5
espn fantasy football,5
yahoo fantasy,5



Rising searches
ray rice,+950%
us open,+800%
espn fantasy,+350%
espn fantasy football,+350%
mayweather,+350%
college football,+300%
fantasy football,+250%
football,+180%
nfl,+170%
nfl schedule,+160%



