Web Search interest
United States; Past 30 days

Interest over time
Day,Travel
2014-08-17,+0%
2014-08-18,-3%
2014-08-19,-5%
2014-08-20,-8%
2014-08-21,-7%
2014-08-22,-6%
2014-08-23,-5%
2014-08-24,-3%
2014-08-25,-7%
2014-08-26,-7%
2014-08-27,-8%
2014-08-28,-5%
2014-08-29,-5%
2014-08-30,-1%
2014-08-31,-3%
2014-09-01,-9%
2014-09-02,-15%
2014-09-03,-15%
2014-09-04,-13%
2014-09-05,-14%
2014-09-06,-13%
2014-09-07,-16%
2014-09-08,-15%
2014-09-09,-18%
2014-09-10,-18%
2014-09-11,-17%
2014-09-12,-16%
2014-09-13,-17%
2014-09-14,-16%
2014-09-15, 
2014-09-16, 



Top searches
hotel,100
hotels,95
flights,75
southwest,75
las vegas,70
flight,60
united,45
southwest airlines,45
delta,45
car rental,40
united airlines,35
map,30
expedia,30
american airlines,30
marriott,30
hilton,25
enterprise,25
tripadvisor,25
amtrak,25
cheap flights,25



Rising searches
knee defender,Breakout
snapple save,Breakout
snapple save agt,Breakout
snapple,+4,350%
joan river,+3,650%
isil,+1,050%
electric zoo,+750%
norwegian cruise line,+250%
disneyland hours,+80%
amtrak schedule,+70%



