Web Search interest
United States; Past 7 days

Interest over time
Day,Autos & Vehicles
2014-09-10,+0%
2014-09-11,-1%
2014-09-12,+2%
2014-09-13,+8%
2014-09-14,-1%
2014-09-15, 
2014-09-16, 



Top searches
car,100
ford,95
honda,70
toyota,65
chevy,55
cars,50
craigslist,50
dodge,45
nissan,40
jeep,40
truck,35
bmw,35
dmv,35
tires,35
mercedes,25
ebay,25
auto parts,25
audi,20
chevrolet,20
motorcycle,20



Rising searches
stephanie hayden ford,+700%
amg gt,+550%
jaguar xe,+250%
gazelle,+150%
audi q3,+140%
blue angels,+120%
hercules,+60%
lg g3,+60%
iphone 5c,+40%
istation,+40%



