Web Search interest
United States; Past 7 days

Interest over time
Day,People & Society
2014-09-10,+0%
2014-09-11,-3%
2014-09-12,-3%
2014-09-13,-5%
2014-09-14,+0%
2014-09-15, 
2014-09-16, 



Top searches
games,100
girls,95
bible,90
hot,70
cool math,60
us,55
cool games,55
cool math games,55
love,45
horoscope,45
tmz,40
god,40
pandora,25
babies r us,25
social security,25
credit karma,20
india,15
baby names,15
univision,15
bible verses,15



Rising searches
solar flares 2014,Breakout
star spangled spectacular,+600%
deliverance creek,+500%
apparently kid,+350%
ward churchill,+200%
rojadirecta,+100%
linda cardellini,+90%
girl meets world,+50%
hac,+50%
hot nigga,+50%



