Web Search interest
United States; Past 90 days

Interest over time
Day,Books & Literature
2014-06-17,+0%
2014-06-18,-3%
2014-06-19,-7%
2014-06-20,-7%
2014-06-21,-11%
2014-06-22,-7%
2014-06-23,-10%
2014-06-24,-11%
2014-06-25,-11%
2014-06-26,-14%
2014-06-27,-13%
2014-06-28,-11%
2014-06-29,-9%
2014-06-30,-13%
2014-07-01,-15%
2014-07-02,-13%
2014-07-03,-15%
2014-07-04,-13%
2014-07-05,-16%
2014-07-06,-7%
2014-07-07,-10%
2014-07-08,-8%
2014-07-09,-10%
2014-07-10,-9%
2014-07-11,-15%
2014-07-12,-10%
2014-07-13,-8%
2014-07-14,-9%
2014-07-15,-13%
2014-07-16,-10%
2014-07-17,-14%
2014-07-18,-14%
2014-07-19,-13%
2014-07-20,-8%
2014-07-21,-14%
2014-07-22,-9%
2014-07-23,-10%
2014-07-24,-11%
2014-07-25,-15%
2014-07-26,-10%
2014-07-27,-6%
2014-07-28,-10%
2014-07-29,-8%
2014-07-30,-9%
2014-07-31,-11%
2014-08-01,-14%
2014-08-02,-13%
2014-08-03,-7%
2014-08-04,-10%
2014-08-05,-10%
2014-08-06,-8%
2014-08-07,-9%
2014-08-08,-13%
2014-08-09,-11%
2014-08-10,-7%
2014-08-11,-11%
2014-08-12,-2%
2014-08-13,-8%
2014-08-14,-6%
2014-08-15,-10%
2014-08-16,-11%
2014-08-17,-2%
2014-08-18,-6%
2014-08-19,-5%
2014-08-20,-3%
2014-08-21,-6%
2014-08-22,-8%
2014-08-23,-10%
2014-08-24,-5%
2014-08-25,-3%
2014-08-26,+3%
2014-08-27,+2%
2014-08-28,+3%
2014-08-29,-3%
2014-08-30,-10%
2014-08-31,-8%
2014-09-01,+1%
2014-09-02,+7%
2014-09-03,+9%
2014-09-04,+8%
2014-09-05,-1%
2014-09-06,-11%
2014-09-07,+5%
2014-09-08,+13%
2014-09-09,+15%
2014-09-10,+14%
2014-09-11,+11%
2014-09-12,+3%
2014-09-13,-9%
2014-09-14,+0%
2014-09-15, 
2014-09-16, 



Top searches
quotes,100
book,35
books,30
fanfiction,15
game of thrones,15
quote,10
love quotes,10
harry potter,10
poems,5
life quotes,5
writing,5
sparknotes,5
barnes and noble,5
fanfic,5
funny quotes,5
amazon books,5
frases,5
pretty little liars,5
inspirational quotes,5
fiction,5



Rising searches
leo tolstoy,+1,100%
outlander series,+500%
nicola peltz,+300%
the giver,+200%
jk rowling,+120%
kata kata mutiara,+120%
sword art online,+110%
nantucket,+90%
bonnie and clyde,+80%
pretty little liars,+70%



