Web Search interest
United States; Past 90 days

Interest over time
Day,Health
2014-06-17,+0%
2014-06-18,+2%
2014-06-19,-1%
2014-06-20,-3%
2014-06-21,-16%
2014-06-22,-17%
2014-06-23,+3%
2014-06-24,+2%
2014-06-25,+2%
2014-06-26,+0%
2014-06-27,-2%
2014-06-28,-17%
2014-06-29,-18%
2014-06-30,+0%
2014-07-01,+0%
2014-07-02,+0%
2014-07-03,-2%
2014-07-04,-24%
2014-07-05,-21%
2014-07-06,-21%
2014-07-07,+5%
2014-07-08,+2%
2014-07-09,+3%
2014-07-10,+2%
2014-07-11,-4%
2014-07-12,-20%
2014-07-13,-21%
2014-07-14,+4%
2014-07-15,+3%
2014-07-16,+4%
2014-07-17,+3%
2014-07-18,-1%
2014-07-19,-18%
2014-07-20,-20%
2014-07-21,+3%
2014-07-22,+4%
2014-07-23,+5%
2014-07-24,+2%
2014-07-25,-2%
2014-07-26,-18%
2014-07-27,-17%
2014-07-28,+3%
2014-07-29,+5%
2014-07-30,+5%
2014-07-31,+3%
2014-08-01,-1%
2014-08-02,-9%
2014-08-03,-13%
2014-08-04,+7%
2014-08-05,+9%
2014-08-06,+8%
2014-08-07,+5%
2014-08-08,-2%
2014-08-09,-17%
2014-08-10,-18%
2014-08-11,+0%
2014-08-12,+0%
2014-08-13,+1%
2014-08-14,+2%
2014-08-15,-1%
2014-08-16,-20%
2014-08-17,-17%
2014-08-18,+3%
2014-08-19,+4%
2014-08-20,+9%
2014-08-21,+5%
2014-08-22,-1%
2014-08-23,-17%
2014-08-24,-18%
2014-08-25,+1%
2014-08-26,+4%
2014-08-27,+2%
2014-08-28,+3%
2014-08-29,-4%
2014-08-30,-20%
2014-08-31,-21%
2014-09-01,-20%
2014-09-02,+2%
2014-09-03,+4%
2014-09-04,+4%
2014-09-05,-2%
2014-09-06,-17%
2014-09-07,-20%
2014-09-08,+3%
2014-09-09,+4%
2014-09-10,+5%
2014-09-11,+1%
2014-09-12,-3%
2014-09-13,-18%
2014-09-14,-20%
2014-09-15, 
2014-09-16, 



Top searches
dr,100
walgreens,45
ebola,40
weed,35
cvs,25
diabetes,20
marijuana,20
blood pressure,20
walmart,15
anxiety,15
liver,15
depression,15
herpes,15
thyroid,15
diarrhea,15
als,15
webmd,15
ebola virus,10
arthritis,10
rite aid,10



Rising searches
paul george injury,Breakout
paul george,+4,450%
ebola symptoms,+1,750%
joan rivers,+1,450%
als disease,+1,400%
ebola,+1,250%
ebola virus,+1,150%
als,+750%
ebola outbreak,+750%
marfan syndrome,+450%



