Web Search interest
United States; Past 90 days

Interest over time
Day,Hobbies & Leisure
2014-06-17,+0%
2014-06-18,-4%
2014-06-19,+1%
2014-06-20,+4%
2014-06-21,+13%
2014-06-22,+13%
2014-06-23,+5%
2014-06-24,+1%
2014-06-25,+1%
2014-06-26,+1%
2014-06-27,+6%
2014-06-28,+15%
2014-06-29,+17%
2014-06-30,+4%
2014-07-01,+5%
2014-07-02,+6%
2014-07-03,+12%
2014-07-04,+28%
2014-07-05,+22%
2014-07-06,+19%
2014-07-07,+10%
2014-07-08,+3%
2014-07-09,+3%
2014-07-10,+5%
2014-07-11,+5%
2014-07-12,+15%
2014-07-13,+13%
2014-07-14,+3%
2014-07-15,+4%
2014-07-16,+5%
2014-07-17,+4%
2014-07-18,+6%
2014-07-19,+14%
2014-07-20,+19%
2014-07-21,+6%
2014-07-22,+3%
2014-07-23,+4%
2014-07-24,+5%
2014-07-25,+5%
2014-07-26,+14%
2014-07-27,+22%
2014-07-28,+8%
2014-07-29,+4%
2014-07-30,+3%
2014-07-31,+0%
2014-08-01,+5%
2014-08-02,+13%
2014-08-03,+14%
2014-08-04,+3%
2014-08-05,+3%
2014-08-06,+3%
2014-08-07,+3%
2014-08-08,+4%
2014-08-09,+14%
2014-08-10,+14%
2014-08-11,+1%
2014-08-12,-6%
2014-08-13,+0%
2014-08-14,+0%
2014-08-15,+1%
2014-08-16,+14%
2014-08-17,+15%
2014-08-18,+0%
2014-08-19,-1%
2014-08-20,-1%
2014-08-21,+1%
2014-08-22,+0%
2014-08-23,+14%
2014-08-24,+13%
2014-08-25,-3%
2014-08-26,-4%
2014-08-27,-1%
2014-08-28,-3%
2014-08-29,+0%
2014-08-30,+10%
2014-08-31,+13%
2014-09-01,+14%
2014-09-02,-5%
2014-09-03,-8%
2014-09-04,-5%
2014-09-05,-4%
2014-09-06,+8%
2014-09-07,+8%
2014-09-08,-5%
2014-09-09,-10%
2014-09-10,-8%
2014-09-11,-8%
2014-09-12,-1%
2014-09-13,+10%
2014-09-14,+8%
2014-09-15, 
2014-09-16, 



Top searches
dog,100
lottery,80
dogs,45
cat,40
puppies,30
kayak,20
horse,20
cats,20
camera,15
happy birthday,15
flowers,15
petsmart,15
amazon,15
mega millions,10
lotto,10
flower,10
walmart,10
ebay,10
petco,10
bicycle,10



Rising searches
ice bucket challenge,Breakout
tour de france,+1,000%
eid 2014,+600%
anaconda,+500%
ramadan,+350%
rosh hashanah,+350%
rosh hashanah 2014,+350%
labor day 2014,+300%
thanksgiving 2014,+190%
ramadan 2014,+180%



