Web Search interest
United States; Past 90 days

Interest over time
Day,Internet & Telecom
2014-06-17,+0%
2014-06-18,-2%
2014-06-19,+2%
2014-06-20,+2%
2014-06-21,-5%
2014-06-22,-8%
2014-06-23,+0%
2014-06-24,-2%
2014-06-25,+0%
2014-06-26,+2%
2014-06-27,+2%
2014-06-28,-6%
2014-06-29,-9%
2014-06-30,-2%
2014-07-01,+2%
2014-07-02,-3%
2014-07-03,+0%
2014-07-04,-11%
2014-07-05,-9%
2014-07-06,-9%
2014-07-07,-2%
2014-07-08,+0%
2014-07-09,-2%
2014-07-10,+2%
2014-07-11,-2%
2014-07-12,-6%
2014-07-13,-9%
2014-07-14,-3%
2014-07-15,+0%
2014-07-16,+5%
2014-07-17,+2%
2014-07-18,+3%
2014-07-19,-3%
2014-07-20,-5%
2014-07-21,+3%
2014-07-22,+2%
2014-07-23,+0%
2014-07-24,+0%
2014-07-25,-2%
2014-07-26,-5%
2014-07-27,-8%
2014-07-28,+2%
2014-07-29,+0%
2014-07-30,+2%
2014-07-31,+2%
2014-08-01,+3%
2014-08-02,-5%
2014-08-03,-8%
2014-08-04,+0%
2014-08-05,+0%
2014-08-06,+6%
2014-08-07,+3%
2014-08-08,+0%
2014-08-09,-3%
2014-08-10,-8%
2014-08-11,+0%
2014-08-12,-3%
2014-08-13,+3%
2014-08-14,+3%
2014-08-15,+5%
2014-08-16,+2%
2014-08-17,-3%
2014-08-18,+8%
2014-08-19,+2%
2014-08-20,+2%
2014-08-21,+3%
2014-08-22,+5%
2014-08-23,-3%
2014-08-24,-5%
2014-08-25,+3%
2014-08-26,+2%
2014-08-27,+5%
2014-08-28,+8%
2014-08-29,+3%
2014-08-30,-2%
2014-08-31,-8%
2014-09-01,-6%
2014-09-02,+5%
2014-09-03,+6%
2014-09-04,+5%
2014-09-05,+3%
2014-09-06,+0%
2014-09-07,-5%
2014-09-08,+8%
2014-09-09,+54%
2014-09-10,+34%
2014-09-11,+17%
2014-09-12,+29%
2014-09-13,+12%
2014-09-14,+6%
2014-09-15, 
2014-09-16, 



Top searches
google,100
mail,75
iphone,60
yahoo,60
yahoo mail,55
verizon,35
iphone 6,25
mobile,25
at&t,20
aol,20
tumblr,20
email,20
twitter,20
msn,20
verizon wireless,15
att,15
comcast,15
sprint,15
samsung,15
gmail,10



Rising searches
iphone 6 plus,Breakout
iphone 6 price,+1,000%
www google,+750%
apple iphone 6,+450%
purge,+400%
the purge,+350%
iphone 6,+250%
new iphone,+110%
gmail account,+80%
apple,+70%



