Web Search interest
United States; Past 90 days

Interest over time
Day,Jobs & Education
2014-06-17,+0%
2014-06-18,-1%
2014-06-19,-6%
2014-06-20,-13%
2014-06-21,-36%
2014-06-22,-37%
2014-06-23,-4%
2014-06-24,-1%
2014-06-25,-7%
2014-06-26,-7%
2014-06-27,-16%
2014-06-28,-36%
2014-06-29,-40%
2014-06-30,-10%
2014-07-01,-10%
2014-07-02,-12%
2014-07-03,-21%
2014-07-04,-43%
2014-07-05,-42%
2014-07-06,-36%
2014-07-07,-1%
2014-07-08,-6%
2014-07-09,-7%
2014-07-10,-6%
2014-07-11,-18%
2014-07-12,-36%
2014-07-13,-36%
2014-07-14,-3%
2014-07-15,-3%
2014-07-16,-3%
2014-07-17,-9%
2014-07-18,-16%
2014-07-19,-34%
2014-07-20,-34%
2014-07-21,+0%
2014-07-22,+0%
2014-07-23,-1%
2014-07-24,-4%
2014-07-25,-12%
2014-07-26,-34%
2014-07-27,-31%
2014-07-28,+3%
2014-07-29,+3%
2014-07-30,+3%
2014-07-31,+0%
2014-08-01,-6%
2014-08-02,-28%
2014-08-03,-27%
2014-08-04,+10%
2014-08-05,+13%
2014-08-06,+13%
2014-08-07,+9%
2014-08-08,-1%
2014-08-09,-25%
2014-08-10,-25%
2014-08-11,+12%
2014-08-12,+10%
2014-08-13,+18%
2014-08-14,+18%
2014-08-15,+9%
2014-08-16,-19%
2014-08-17,-16%
2014-08-18,+37%
2014-08-19,+36%
2014-08-20,+34%
2014-08-21,+34%
2014-08-22,+22%
2014-08-23,-10%
2014-08-24,-6%
2014-08-25,+49%
2014-08-26,+48%
2014-08-27,+43%
2014-08-28,+39%
2014-08-29,+25%
2014-08-30,-4%
2014-08-31,-18%
2014-09-01,-7%
2014-09-02,+45%
2014-09-03,+45%
2014-09-04,+40%
2014-09-05,+27%
2014-09-06,-3%
2014-09-07,-4%
2014-09-08,+42%
2014-09-09,+34%
2014-09-10,+34%
2014-09-11,+31%
2014-09-12,+25%
2014-09-13,-4%
2014-09-14,-9%
2014-09-15, 
2014-09-16, 



Top searches
jobs,100
college,95
job,30
test,20
indeed,15
resume,15
teacher,15
academy,15
blackboard,10
professor,10
summer,10
barnes and noble,5
als,5
work,5
rate my professor,5
interview questions,5
nebraska,5
indeed jobs,5
careerbuilder,5
kindergarten,5



Rising searches
what is als,+4,200%
google classroom,+2,300%
als,+1,700%
back to school,+850%
ap scores,+400%
common app,+190%
notre dame,+80%
webadvisor,+60%
gre test,+50%
uber,+50%



