Web Search interest
United States; Past 90 days

Interest over time
Day,Law & Government
2014-06-17,+0%
2014-06-18,-3%
2014-06-19,-3%
2014-06-20,-7%
2014-06-21,-26%
2014-06-22,-26%
2014-06-23,-1%
2014-06-24,-1%
2014-06-25,-1%
2014-06-26,-1%
2014-06-27,-7%
2014-06-28,-26%
2014-06-29,-28%
2014-06-30,-2%
2014-07-01,+2%
2014-07-02,+1%
2014-07-03,-8%
2014-07-04,-24%
2014-07-05,-28%
2014-07-06,-27%
2014-07-07,+0%
2014-07-08,-3%
2014-07-09,-3%
2014-07-10,+0%
2014-07-11,-7%
2014-07-12,-26%
2014-07-13,-30%
2014-07-14,-2%
2014-07-15,-3%
2014-07-16,-4%
2014-07-17,+0%
2014-07-18,-4%
2014-07-19,-24%
2014-07-20,-25%
2014-07-21,-3%
2014-07-22,-2%
2014-07-23,+0%
2014-07-24,-4%
2014-07-25,-8%
2014-07-26,-26%
2014-07-27,-27%
2014-07-28,-4%
2014-07-29,+1%
2014-07-30,-2%
2014-07-31,-2%
2014-08-01,-7%
2014-08-02,-16%
2014-08-03,-23%
2014-08-04,-3%
2014-08-05,-2%
2014-08-06,-3%
2014-08-07,-5%
2014-08-08,-7%
2014-08-09,-26%
2014-08-10,-27%
2014-08-11,-8%
2014-08-12,-7%
2014-08-13,-5%
2014-08-14,-2%
2014-08-15,-5%
2014-08-16,-25%
2014-08-17,-27%
2014-08-18,-2%
2014-08-19,-2%
2014-08-20,-1%
2014-08-21,-3%
2014-08-22,-6%
2014-08-23,-28%
2014-08-24,-29%
2014-08-25,-3%
2014-08-26,-2%
2014-08-27,+0%
2014-08-28,-2%
2014-08-29,-8%
2014-08-30,-28%
2014-08-31,-31%
2014-09-01,-29%
2014-09-02,-1%
2014-09-03,+0%
2014-09-04,-3%
2014-09-05,-9%
2014-09-06,-30%
2014-09-07,-30%
2014-09-08,+3%
2014-09-09,-2%
2014-09-10,+0%
2014-09-11,+1%
2014-09-12,-2%
2014-09-13,-25%
2014-09-14,-29%
2014-09-15, 
2014-09-16, 



Top searches
mapquest,100
army,45
unemployment,35
fire,30
obama,30
navy,30
child support,25
driving directions,20
inmate search,20
passport,20
mapquest directions,20
maps,20
act,20
beeg,20
air force,15
immigration,15
united states,15
mapquest driving,15
justice,15
mapquest driving directions,10



Rising searches
finding carter,+3,050%
michael brown,+3,000%
tim howard,+2,350%
rick perry,+650%
the last ship,+400%
paul george,+350%
under the dome,+250%
teresa giudice,+200%
gang related,+140%
mapquest driving directions,+70%



