Web Search interest
United States; Past 90 days

Interest over time
Day,News
2014-06-17,+0%
2014-06-18,+0%
2014-06-19,+3%
2014-06-20,+0%
2014-06-21,-7%
2014-06-22,-2%
2014-06-23,+1%
2014-06-24,+1%
2014-06-25,+4%
2014-06-26,+0%
2014-06-27,+4%
2014-06-28,+1%
2014-06-29,-7%
2014-06-30,+3%
2014-07-01,+2%
2014-07-02,+4%
2014-07-03,+9%
2014-07-04,+0%
2014-07-05,-8%
2014-07-06,-8%
2014-07-07,-2%
2014-07-08,+3%
2014-07-09,+1%
2014-07-10,+1%
2014-07-11,-6%
2014-07-12,-8%
2014-07-13,-7%
2014-07-14,+7%
2014-07-15,+4%
2014-07-16,-1%
2014-07-17,+12%
2014-07-18,+7%
2014-07-19,-2%
2014-07-20,-2%
2014-07-21,-3%
2014-07-22,+1%
2014-07-23,+1%
2014-07-24,+3%
2014-07-25,-1%
2014-07-26,-3%
2014-07-27,+3%
2014-07-28,+0%
2014-07-29,-3%
2014-07-30,+4%
2014-07-31,+3%
2014-08-01,+6%
2014-08-02,-1%
2014-08-03,-3%
2014-08-04,-3%
2014-08-05,-1%
2014-08-06,+1%
2014-08-07,-2%
2014-08-08,+2%
2014-08-09,-9%
2014-08-10,-8%
2014-08-11,-1%
2014-08-12,+3%
2014-08-13,+1%
2014-08-14,-2%
2014-08-15,-2%
2014-08-16,-6%
2014-08-17,-4%
2014-08-18,-3%
2014-08-19,-1%
2014-08-20,+2%
2014-08-21,+2%
2014-08-22,+0%
2014-08-23,-4%
2014-08-24,-6%
2014-08-25,+0%
2014-08-26,-3%
2014-08-27,-4%
2014-08-28,-2%
2014-08-29,+1%
2014-08-30,-1%
2014-08-31,-1%
2014-09-01,+9%
2014-09-02,+9%
2014-09-03,+3%
2014-09-04,+11%
2014-09-05,+6%
2014-09-06,+2%
2014-09-07,-2%
2014-09-08,+7%
2014-09-09,+6%
2014-09-10,+4%
2014-09-11,+4%
2014-09-12,+2%
2014-09-13,-1%
2014-09-14,-8%
2014-09-15, 
2014-09-16, 



Top searches
weather,100
news,75
cnn,20
fox news,15
yahoo,10
weather radar,5
weather channel,5
drudge,5
accuweather,5
kim kardashian,5
weather forecast,5
espn,5
bbc,5
drudge report,5
miley cyrus,5
cnn news,5
huffington post,5
daily news,5
noaa,0
google news,0



Rising searches
jeremy meeks,Breakout
betty white,+600%
jennifer lawrence,+600%
transfer news,+450%
arsenal news,+300%
brittany murphy,+300%
kate upton,+300%
orlando bloom,+300%
cristiano ronaldo,+90%
nick cannon,+70%



