Web Search interest
United States; Past 90 days

Interest over time
Day,Reference
2014-06-17,+0%
2014-06-18,+2%
2014-06-19,+2%
2014-06-20,-1%
2014-06-21,-6%
2014-06-22,-9%
2014-06-23,+1%
2014-06-24,+4%
2014-06-25,-2%
2014-06-26,+0%
2014-06-27,-1%
2014-06-28,-9%
2014-06-29,-7%
2014-06-30,-4%
2014-07-01,-2%
2014-07-02,-1%
2014-07-03,+1%
2014-07-04,-6%
2014-07-05,-10%
2014-07-06,-7%
2014-07-07,+2%
2014-07-08,+0%
2014-07-09,-1%
2014-07-10,-1%
2014-07-11,+0%
2014-07-12,-7%
2014-07-13,-7%
2014-07-14,-1%
2014-07-15,-1%
2014-07-16,+2%
2014-07-17,+2%
2014-07-18,-2%
2014-07-19,-6%
2014-07-20,-5%
2014-07-21,+0%
2014-07-22,+2%
2014-07-23,+5%
2014-07-24,+1%
2014-07-25,+1%
2014-07-26,-9%
2014-07-27,-4%
2014-07-28,+0%
2014-07-29,+1%
2014-07-30,+0%
2014-07-31,+0%
2014-08-01,-1%
2014-08-02,-9%
2014-08-03,-9%
2014-08-04,-2%
2014-08-05,+2%
2014-08-06,+2%
2014-08-07,+1%
2014-08-08,-2%
2014-08-09,-6%
2014-08-10,-9%
2014-08-11,-2%
2014-08-12,-1%
2014-08-13,+2%
2014-08-14,+5%
2014-08-15,+1%
2014-08-16,-5%
2014-08-17,-9%
2014-08-18,+6%
2014-08-19,+6%
2014-08-20,+6%
2014-08-21,+6%
2014-08-22,+2%
2014-08-23,-5%
2014-08-24,-5%
2014-08-25,+9%
2014-08-26,+13%
2014-08-27,+15%
2014-08-28,+15%
2014-08-29,+11%
2014-08-30,-7%
2014-08-31,-7%
2014-09-01,-2%
2014-09-02,+17%
2014-09-03,+18%
2014-09-04,+18%
2014-09-05,+12%
2014-09-06,-2%
2014-09-07,-1%
2014-09-08,+22%
2014-09-09,+17%
2014-09-10,+22%
2014-09-11,+21%
2014-09-12,+17%
2014-09-13,-6%
2014-09-14,+0%
2014-09-15, 
2014-09-16, 



Top searches
craigslist,100
google,35
maps,30
the,30
quotes,25
map,20
translate,15
google maps,15
definition,15
translate google,10
library,10
calendar,5
dictionary,5
zip code,5
directions,5
translator,5
bing,5
translation,5
white pages,5
calculator,5



Rising searches
the fappening,Breakout
rising star,+650%
august 2014 calendar,+550%
traductor de google,+250%
july 2014 calendar,+180%
spanish translator,+160%
flipkart,+150%
craigslist la,+70%
google traductor,+70%
craigslist oc,+50%



