Web Search interest
United States; Past 90 days

Interest over time
Day,Science
2014-06-17,+0%
2014-06-18,+2%
2014-06-19,-3%
2014-06-20,-9%
2014-06-21,-27%
2014-06-22,-25%
2014-06-23,-5%
2014-06-24,-2%
2014-06-25,-5%
2014-06-26,-8%
2014-06-27,-11%
2014-06-28,-28%
2014-06-29,-27%
2014-06-30,-6%
2014-07-01,-9%
2014-07-02,-11%
2014-07-03,-11%
2014-07-04,-30%
2014-07-05,-31%
2014-07-06,-27%
2014-07-07,-8%
2014-07-08,-9%
2014-07-09,-8%
2014-07-10,-5%
2014-07-11,-8%
2014-07-12,-23%
2014-07-13,-20%
2014-07-14,-6%
2014-07-15,-5%
2014-07-16,-3%
2014-07-17,-3%
2014-07-18,-14%
2014-07-19,-30%
2014-07-20,-25%
2014-07-21,-8%
2014-07-22,-5%
2014-07-23,-5%
2014-07-24,-2%
2014-07-25,-9%
2014-07-26,-25%
2014-07-27,-23%
2014-07-28,-6%
2014-07-29,-6%
2014-07-30,-5%
2014-07-31,-6%
2014-08-01,-12%
2014-08-02,-28%
2014-08-03,-23%
2014-08-04,-3%
2014-08-05,-2%
2014-08-06,-2%
2014-08-07,+3%
2014-08-08,-8%
2014-08-09,-20%
2014-08-10,-17%
2014-08-11,+0%
2014-08-12,+2%
2014-08-13,+6%
2014-08-14,+0%
2014-08-15,-6%
2014-08-16,-25%
2014-08-17,-23%
2014-08-18,+0%
2014-08-19,+8%
2014-08-20,+8%
2014-08-21,+9%
2014-08-22,+3%
2014-08-23,-22%
2014-08-24,-14%
2014-08-25,+17%
2014-08-26,+27%
2014-08-27,+33%
2014-08-28,+30%
2014-08-29,+19%
2014-08-30,-19%
2014-08-31,-16%
2014-09-01,-2%
2014-09-02,+30%
2014-09-03,+39%
2014-09-04,+45%
2014-09-05,+33%
2014-09-06,-9%
2014-09-07,+2%
2014-09-08,+47%
2014-09-09,+56%
2014-09-10,+53%
2014-09-11,+48%
2014-09-12,+47%
2014-09-13,-2%
2014-09-14,+8%
2014-09-15, 
2014-09-16, 



Top searches
math,100
java,75
science,55
windows 7,45
calculator,30
javascript,30
cool math,25
chemistry,25
physics,20
periodic table,20
divergent,20
algebra,20
brain,15
nebraska,15
animals,15
bed bugs,15
dna,15
black widow,15
ocean,15
brown recluse,15



Rising searches
the strain,+850%
black widow,+250%
scientific method,+250%
brown recluse spider,+170%
tide chart,+150%
wasp,+150%
stephen hawking,+120%
brown recluse,+110%
bed bug,+90%
bed bugs,+80%



